Date	Sell
87	1265.00000001
98	1276.01190013
102	1271.99999998
124	1113.0
144	1226.00000014
156	1210.0
159	1181.49999982
161	1089.99999999
163	1128.99999999
193	1062.3
212	934.75101922
233	1012.0
237	1040.78075063
241	1030.69999998
276	1128.00516042
296	1187.21000001
309	1216.0
319	1232.76599812
335	1209.29012396
380	1308.19086133
388	1352.19356875
415	1383.0
443	1572.88999999
453	1613.0
486	1755.0
496	1860.10327257
514	1826.0
554	2028.0
562	2090.00000006
579	2290.00000001
610	2139.99999999
636	2446.02188572
654	2793.70516897
683	2940.77048798
721	2563.43619716
742	2620.0
751	2681.87391695
754	2670.0
762	2512.51159982
790	2468.47472319
833	2562.73731961
846	2515.02483791
850	2473.1147386
872	2299.99999999
885	2086.50000001
887	2024.00000039
892	1925.89999989
909	2217.0
933	2781.0
946	2565.99999948
954	2537.94499992
959	2680.0
969	2733.97196514
972	2639.15835632
988	2736.48268487
1020	3244.0
1030	3411.0
1058	3969.99999996
1069	4089.15799997
1135	4308.00000056
1139	4334.00000003
1176	4719.19999999
1202	4589.89989999
1204	4589.00866529
1214	4330.88686803
1238	4234.99999999
1265	3634.08063457
1269	3715.0
1275	4009.55788218
1279	3986.40960025
1286	3999.99999998
1303	3793.10000046
1308	3667.55180399
1341	4177.99999992
1358	4394.9999993
1377	4364.71443905
1408	4770.0
1426	5646.6291435
1434	5771.49650213
1464	5636.00000999
1475	5938.13300013
1508	5749.0
1510	5756.51178353
1552	7124.35999982
1581	7200.0
1641	7735.36
1656	8150.0
1659	8128.0
1676	8177.0
1707	9600.0
1736	11331.55268701
1759	14742.13286719
1786	16227.9999999
1816	18959.19999967
1875	14803.00000001
1904	13217.0
1908	13350.7
1941	16102.00000001
1945	15498.99999988
1980	13727.0
2002	11036.11532467
2022	11899.86488767
2052	11037.98999994
2073	11224.00000003
2077	11013.00000016
2083	10288.58148394
2108	8392.95880682
2116	6960.0
2119	6549.97499967
2135	8108.58116681
2147	8023.0
2150	8439.40181157
2164	8500.61835334
2193	10846.19936004
2206	11217.16508497
2221	10198.99999993
2237	9622.99657835
2253	10548.0
2276	11137.24745655
2284	11434.99999889
2294	10674.1
2297	9546.10999756
2323	9833.85904403
2352	8187.5
2383	8629.00000193
2390	8629.91099185
2395	8710.13686534
2398	8533.31390908
2409	7925.25681947
2430	7224.35947632
2437	7083.0
2442	6719.2715644
2461	7054.05175378
2477	6850.0
2491	6757.54923543
2494	6761.53778457
2531	8135.00000106
2575	8935.08813675
2588	8978.8
2596	9286.0
2601	9087.0001
2614	9423.79999636
2653	9600.82475738
2679	9075.00000017
2699	8397.7568
2736	8254.01356271
2745	8383.93768818
2754	7844.97903811
2776	7331.75686948
2792	7428.2702155
2799	7318.20572055
2813	7501.04887542
2827	7512.356188
2834	7565.51634039
2851	7560.00000001
2863	7238.651703
2893	6530.18661285
2896	6376.15122659
2908	6442.0
2933	6664.0
2937	6196.4
2962	6078.39999986
3007	6532.99999996
3010	6585.60313941
3025	6576.37693957
3040	6654.50000001
3049	6373.86711558
3105	7347.99999983
3134	8115.71150639
3136	8173.03501117
3138	8251.92318498
3146	8155.16185211
3154	8218.0
3157	8162.80584625
3161	8195.63770166
3172	7731.55172042
3208	6928.5
3232	6147.0
3248	6290.313
3268	6312.89651855
3278	6355.0
3280	6388.0
3289	6450.99
3304	6354.76760181
3307	6406.97895655
3331	6702.29223062
3348	6974.01391741
3378	7317.741825
3381	7353.0
3392	6430.32382999
3452	6474.13479757
3463	6289.13518454
3497	6717.71393354
3503	6464.0
3506	6414.2563509
3513	6490.28857842
3526	6641.01010618
3538	6620.0
3541	6596.1
3571	6598.9082555
3594	6576.22094078
3602	6299.69968219
3618	6392.23470289
3642	6736.81054884
3647	6613.16253214
3662	6643.40479758
3714	6375.37227218
3723	6376.47009994
3738	6408.54862
3772	6480.22842163
3781	6444.0
3786	6442.0
3796	6453.58
3805	6382.73828998
3829	5630.0
3832	5659.3351292
3840	4704.94427202
3850	4667.0
3856	4360.13965852
3866	4369.16961003
3871	3920.59580988
3881	3805.66031
3883	3754.0
3901	4022.72761012
3906	3997.91772757
3917	4034.50095479
3924	4022.0
3945	3495.3975
3963	3402.36802633
3972	3401.50000001
3977	3400.67701998
3981	3344.99049998
3991	3204.69999999
3995	3273.55608073
4031	3815.00000001
4036	3948.86444059
4040	3904.7584
4049	3713.15942088
4061	3708.73260548
4078	3691.74981487
4085	3742.8628152
4111	3751.64765017
4118	3785.53708216
4120	3775.80715
4142	3957.19995085
4154	3589.1025
4180	3553.90266648
4197	3576.70069256
4207	3584.12355619
4237	3543.28333316
4244	3558.39445111
4248	3565.07914362
4258	3440.72161058
4276	3430.1721432
4290	3464.34687999
4307	3421.0000001
4321	3433.30190442
4342	3633.54137
4348	3633.80360746
4356	3609.0
4359	3608.25204
4368	3619.31059
4400	3928.55212003
4418	3786.40349995
4425	3856.96368996
4444	3820.78809986
4447	3829.0
4502	3907.89993999
4513	3879.0
4549	3969.86952644
4559	3996.28999995
4568	3976.2439
4630	4104.7592224
4650	5015.0
4652	4982.23013919
4666	5051.06520581
4691	5140.58
4704	5062.20428025
4719	5012.9
4748	5291.86492757
4750	5289.87388452
4773	5399.75564042
4833	5678.26999998
4835	5811.17727061
4853	5875.65594024
4880	6864.93
4893	7810.0
4928	7818.17123946
4936	7903.1610962
4964	7976.93590553
4977	8683.0000001
