Date	Buy
54	1185.21202993
97	1283.31090764
100	1274.3162846
122	1240.0
138	1217.99989994
145	1235.70228263
158	1208.99999985
160	1166.0
162	1067.24590625
180	1028.0
208	942.51000039
217	971.00200079
236	1041.10000003
238	1040.0
242	1029.88
282	1155.71019643
305	1222.63494647
314	1233.79792644
332	1214.99999964
346	1212.5
381	1327.56044156
402	1376.70735012
432	1461.39600001
447	1616.0
473	1647.70370051
489	1793.0
511	1820.00000001
527	1839.98999997
558	2154.66732494
567	2221.88999998
604	2207.0
617	2249.9999818
637	2483.34683514
682	2937.1
712	2435.00000001
731	2593.08951091
749	2696.11191357
752	2699.49999999
761	2481.94224365
780	2474.09359893
809	2422.0
843	2536.6
847	2510.00000001
868	2375.92499996
882	2039.0
886	1977.5
889	1888.395
896	2046.59796848
911	2323.21214481
945	2471.05000002
951	2473.86553323
958	2669.999998
960	2738.999988
971	2714.59750556
973	2653.4161
998	2765.13954915
1021	3362.45062003
1045	3484.99999998
1063	4186.0
1116	4117.38000002
1137	4330.86703993
1150	4380.009999
1201	4530.0
1203	4588.78941159
1205	4500.0
1237	4331.0
1259	3768.07495217
1268	3675.00000006
1270	3677.99675073
1276	4078.0
1282	3900.0
1299	3597.99999862
1306	3784.99999999
1315	3765.3288
1343	4208.79890005
1371	4204.08888615
1378	4317.0654709
1416	5044.00000007
1429	5715.0
1459	5678.0079082
1465	5649.4045783
1502	5934.99999992
1509	5736.65973875
1520	5975.00000028
1580	7485.0
1612	6475.7786365
1648	8060.0
1658	8370.78724119
1675	8236.0000004
1677	8206.23393075
1721	10898.99999999
1746	12392.00000079
1778	16320.0
1800	17051.0
1862	13474.99999988
1903	13233.20361876
1905	13220.90766079
1910	13735.5795016
1944	15904.99999974
1974	14348.99999992
1999	9959.99999986
2006	11784.48320674
2042	11050.4
2060	11500.41944188
2076	11097.26587923
2078	10322.99999938
2102	9225.99999509
2115	6715.1
2117	6376.69223703
2124	7729.99999985
2139	8636.0
2148	7886.25930541
2154	8490.60000008
2165	8683.75874997
2198	11172.596265
2216	9986.76929999
2236	9559.19777954
2241	10230.77453598
2254	10322.06729641
2279	11568.05507226
2290	10734.02469622
2296	9909.60413712
2321	9420.99999908
2350	8258.66373104
2364	8303.9303999
2389	8501.49302124
2392	8907.7
2396	8940.0
2408	8064.09271449
2428	7080.40276816
2435	6960.5177556
2441	6924.79744084
2447	6987.68703633
2476	6613.54563751
2478	6854.37096526
2493	6687.57605089
2503	6862.67210245
2543	7941.01768957
2579	9173.40000006
2595	8870.62
2599	9300.0
2607	9390.00011004
2635	9196.63968836
2678	9345.0
2698	8701.6132838
2731	8365.21943672
2737	8337.34500411
2752	7985.23121618
2775	7524.8699964
2786	7229.63344428
2793	7468.27884648
2802	7559.25628262
2814	7642.17612837
2832	7402.1615315
2835	7629.80621697
2862	7183.94124166
2889	6639.0
2894	6532.038265
2903	6536.9
2914	6714.48541476
2936	6144.59117051
2953	6228.00000016
2981	6365.5
3008	6676.69206072
3024	6593.96080265
3028	6760.0
3043	6360.41931694
3070	6253.61666487
3119	7625.72000059
3135	8175.27069923
3137	8225.626998
3145	7930.51224367
3153	8193.93459066
3156	8178.44138792
3158	8230.20038365
3171	7750.687868
3206	6969.32688127
3229	6327.85134158
3241	6357.50023163
3258	6391.54782835
3269	6417.02869
3279	6371.0
3287	6478.7625
3298	6468.94324001
3305	6401.8769219
3310	6530.61679861
3334	6905.0
3359	7062.42402547
3380	7379.98381693
3389	6440.49572109
3432	6388.0
3462	6285.77999982
3475	6430.99053282
3501	6627.860699
3504	6389.94549393
3512	6536.95838608
3519	6674.34818347
3537	6615.68174099
3539	6649.29239968
3560	6600.00000065
3573	6589.52506426
3601	6286.07793077
3617	6362.51999824
3624	6870.94994611
3645	6635.01654168
3649	6589.45611808
3713	6360.35377006
3717	6332.3185
3724	6376.30189951
3747	6477.62695338
3773	6486.88802393
3784	6437.42298
3795	6459.5356502
3798	6461.310134
3827	5674.74
3830	5644.9381
3839	4962.14790184
3849	4543.50052287
3855	4501.54063072
3865	4384.20258323
3869	3769.20389541
3875	4115.94124
3882	3843.69762755
3888	4111.0
3903	4033.56612434
3909	4275.15592
3922	3890.35150953
3941	3370.63015663
3952	3409.25100337
3968	3357.3947581
3974	3456.0
3980	3417.01254722
3987	3219.4884
3992	3177.4311
3996	3252.0
4034	3824.06417855
4037	3983.50224769
4043	4142.38765112
4052	3685.80634211
4073	3833.23054095
4084	3798.24
4098	3769.37572204
4117	3801.89999999
4119	3806.56749335
4124	3803.01257137
4148	3722.91079423
4176	3626.79908
4196	3610.0
4199	3606.39318062
4235	3568.18221488
4242	3618.0
4247	3578.56406364
4255	3422.16785022
4268	3465.0
4281	3473.72240052
4296	3463.00331966
4319	3404.01000396
4322	3503.05560021
4347	3639.78101767
4352	3600.53
4358	3594.3879583
4361	3617.0
4369	3624.92809617
4413	4102.75123451
4422	3787.0430766
4442	3854.43699997
4446	3842.04
4473	3855.85145863
4511	3823.19724623
4530	3892.64105136
4558	4015.61067084
4560	4011.68999999
4603	4034.6607908
4631	4133.19214103
4651	4968.70000002
4665	5139.54694789
4689	5361.0
4702	5053.2249604
4714	5126.69105029
4725	5160.3718924
4749	5299.5
4761	5350.37631414
4810	5321.39761414
4834	5842.8
4849	5945.33297352
4857	5952.76437643
4886	7790.0
4923	7951.49530458
4933	7847.41170049
4951	7972.58563511
4965	8484.17915149
5000	8487.74341873
