	openTime	open	high	low	close	volume	closeTime	quoteVolume	numTrades	MA_20	MA_50	MA_100	MA_200	RSI_14	SOk143	SOd1433	SORSI_14k3	SORSI_14d33	MACDl_1226	MACDs_1226	MACDh_1226	Momentum_10	ATRE_14	BBU_20	BBD_20	BBp_20	BBU_50	BBD_50	BBp_50	ROC_9	Trix_18	Trix_9	MFI_14	KCM_20	KCU_20	KCD_20	PSAR	PSARtrend	ChaikinOSC
0	1741852800000	83152.0	83522.61	82400.04	82975.86	3199.56767	1741867199999	265838211.63359410	574941																												82975.86	False	
1	1741867200000	82975.86	83900.0	80954.29	81044.72	7631.10248	1741881599999	627091112.21500610	1310777					0.0																							81044.72	False	
2	1741881600000	81044.72	81264.73	79939.9	80211.4	7395.86973	1741895999999	595933920.76068000	963742					0.0																							83522.61	False	
3	1741896000000	80210.4	81484.23	80189.89	81115.78	2467.85167	1741910399999	199338184.84310250	393383					3.6189971712453968																							83900.0	False	
4	1741910400000	81115.78	82270.51	80818.84	81888.77	2746.60637	1741924799999	224351830.58728430	411171					6.7261025114119235																							83820.798	False	
5	1741924800000	81888.77	82454.5	81780.08	82170.85	2021.59745	1741939199999	165843050.63253780	270522					7.893020089214417																							83743.18003999999	False	
6	1741939200000	82170.84	83348.46	82170.84	83253.15	3340.43802	1741953599999	276940355.74493220	395433					12.420361563302464																							83667.1144392	False	
7	1741953600000	83253.15	85309.71	82640.59	84724.58	11416.8729	1741967999999	958564476.20187430	1140925					18.299984558019744																							79939.9	True	
8	1741968000000	84724.58	84950.0	83949.19	84554.0	4662.53549	1741982399999	394163016.38711690	730120					18.147878892266704																							80047.2962	True	
9	1741982400000	84554.0	84554.01	83717.69	83983.2	2670.47732	1741996799999	224866865.98742610	342816					17.620109961493057																1.2140157390354214							80152.544476	True	
10	1741996800000	83983.19	84676.28	83964.57	84491.99	1801.07938	1742011199999	151973027.82168640	272239					19.85739184316691								1516.1300000000047								4.253540514422166							80255.68778647999	True	-196.8266875867605
11	1742011200000	84492.0	84559.0	83791.09	83827.31	1787.51614	1742025599999	150424419.29362610	185000					19.126596256803126								2782.5899999999965								4.507975175598486							80356.76823075039	True	-836.1367731785267
12	1742025600000	83827.32	84184.58	83618.0	84103.74	2551.69547	1742039999999	214005301.12037200	246424					20.43800067937886								3892.340000000011								3.6835742687797692							80455.82706613537	True	-726.8126100498653
13	1742040000000	84103.74	84499.74	84010.58	84346.02	2795.90086	1742054399999	235599425.58779090	269113					21.637381055662672								3230.2400000000052	966.7887065784574							3.0007167038899225			59.05515457056979				80552.90472481267	True	193.98772843140387
14	1742054400000	84346.03	84498.72	84076.92	84299.98	1681.69068	1742068799999	141804509.79151950	204345					21.570835256319626								2411.209999999992	884.5053552945238							2.5911013455501433			60.32751139268387				80648.04083031641	True	19.729856033892474
15	1742068800000	84299.99	84467.7	84237.58	84338.44	706.85067	1742083199999	59638988.21875560	152549					21.787232763145738	81.72070644336883							2167.5899999999965	787.4185351387472							1.3036023261582392			70.36304847597731				80741.27421371009	True	-400.539810676819
16	1742083200000	84338.44	84393.72	83733.86	84332.34	1213.99013	1742097599999	102058547.50410890	217659					21.77696969179678	81.33954513993257	81.50054180638335	99.8786535837095					1079.1900000000023	768.773752171487							-0.4629589193596536			80.26630334933623				80832.64292943588	True	-257.340825571402
